num_queries	speedup
10	0.000339761
10	0.000335788
10	0.000338183
10	0.000332289
10	0.000331852
10	0.000347079
10	0.000333602
10	0.000333044
10	0.000336354
10	0.000345799
10	0.000342573
10	0.000334386
10	0.000376327
10	0.000338426
10	0.000334620
10	0.000335743
10	0.000339102
10	0.000338128
10	0.000338649
10	0.000349888
100	0.001221158
100	0.001226453
100	0.001237809
100	0.001219789
100	0.001240592
100	0.001232805
100	0.001236738
100	0.001230827
100	0.001230423
100	0.001231871
100	0.001218813
100	0.001233035
100	0.001234889
100	0.001241561
100	0.001241460
100	0.001215366
100	0.001232578
100	0.001222272
100	0.001279384
100	0.001216814
1000	0.009173482
1000	0.009150981
1000	0.009031575
1000	0.009116933
1000	0.009111198
1000	0.009071566
1000	0.009085197
1000	0.009581390
1000	0.009147259
1000	0.009063872
1000	0.009214174
1000	0.009126097
1000	0.009141946
1000	0.009122646
1000	0.009043166
1000	0.009121738
1000	0.009123260
1000	0.009047546
1000	0.009093880
1000	0.009181710
10000	0.207215242
10000	0.174735168
10000	0.175367634
10000	0.173880729
10000	0.175359190
10000	0.175112325
10000	0.175089784
10000	0.174942894
10000	0.175126320
10000	0.175086420
10000	0.174533917
10000	0.175225974
10000	0.175185954
10000	0.175165616
10000	0.174588059
10000	0.175535259
10000	0.174241124
10000	0.176328992
10000	0.175199955
10000	0.174532090
60000	4.582007108
60000	4.403797222
60000	4.401123063
60000	4.403622956
60000	4.395219543
60000	4.401060408
60000	4.401384485
60000	4.403755487
60000	4.393547319
60000	4.398409782
60000	4.398100320
60000	4.399462635
60000	4.404625333
60000	4.398968707
60000	4.405089430
60000	4.400898635
60000	4.402592743
60000	4.404180216
60000	4.400363934
60000	4.405183337
