name,musl-size,musl-std,musl-compat,newlib-size,newlib-std,newlib-compat,cloc
lib-axtls,0.364,X,V,0.436,X,V,0
lib-bzip2,0.324,X,V,0.388,X,V,0
lib-c-ares,0.328,X,V,0.424,X,V,0
lib-duktape,0.756,V,V,0.856,X,V,7
lib-farmhash,0.256,V,V,0.340,V,V,0
lib-fft2d,0.364,V,V,0.440,X,V,0
lib-helloworld,0.248,V,V,0.332,V,V,0
lib-httpreply,0.252,V,V,0.372,X,V,0
lib-libucontext,0.248,V,V,0.332,X,V,0
lib-libunwind,0.248,V,V,0.328,V,V,0
lib-lighttpd,0.676,X,V,0.788,X,V,6
lib-memcached,0.536,X,V,0.660,X,V,6
lib-micropython,0.648,V,V,0.708,X,V,7
lib-nginx,0.704,X,V,0.792,X,V,5
lib-open62541,0.252,V,V,0.336,V,V,13
lib-openssl,2.9,X,V,3.0,X,V,0
lib-pcre,0.356,V,V,0.432,X,V,0
lib-python3,3.1,X,V,3.2,X,V,26
lib-redis-client,0.660,X,V,0.764,X,V,29
lib-redis-server,1.3,X,V,1.4,X,V,32
lib-ruby,5.6,X,V,5.7,X,V,37
lib-sqlite,1.4,X,V,1.4,X,V,5
lib-zlib,0.368,X,V,0.432,X,V,0
lib-zydis,0.688,V,V,0.756,X,V,0
